Software,RP Name,Software's Web Page,Software Documentation,Tutorials,
flex,"OOKAMI, ACES",https://github.com/westes/flex,https://westes.github.io/flex/manual/,"https://developer.ibm.com/technologies/linux/,https://www.youtube.com/watch?v=54bo1qaHAfk,http://alumni.cs.ucr.edu/~lgao/teaching/flex.html",
FlexiBLAS,ACES,https://www.mpi-magdeburg.mpg.de/projects/flexiblas,,,
fltk,"ACES, Rockfish",,,,No File
Fluent,Bridges-2,https://www.ansys.com/products/fluids/ansys-fluent,,https://confluence.cornell.edu/display/SIMULATION/FLUENT+Learning+Modules,
FMS2,OOKAMI,https://github.com/NOAA-GFDL/FMS,https://noaa-gfdl.github.io/FMS/,,
fontconfig,"ACES, Rockfish",https://www.freedesktop.org/wiki/Software/fontconfig/,https://www.freedesktop.org/software/fontconfig/fontconfig-user.html,"https://wiki.archlinux.org/title/font_configuration,https://stackoverflow.com/questions/5941732/how-do-you-get-process-id-of-thread",
Fortran,"DARWIN, Bridges-2",https://fortran-lang.org/,,"https://www.tutorialspoint.com/fortran/index.htm , https://www.youtube.com/watch?v=__2UgFNYgf8 ",
foss,ACES,https://www.gnu.org/software/gcc/,https://www.gnu.org/software/gcc/manual,,
fosscuda,ACES,,,,No File
freeglut,ACES,https://freeglut.sourceforge.net/,https://freeglut.sourceforge.net/docs/api.php,"https://en.wikibooks.org/wiki/OpenGL_Programming/Installation/FreeGLUT,",
freeipmi,OOKAMI,https://www.gnu.org/software/freeipmi/,https://www.gnu.org/software/freeipmi/documentation.html,https://www.mankier.com/package/freeipmi,
freetype,"ACES, Rockfish",https://freetype.org/,https://freetype.org/freetype2/docs/tutorial/index.html,"https://freetype.org/freetype2/docs/glyphs/,https://freetype.org/freetype2/docs/tutorial/index.html,https://freetype.org/freetype2/docs/tutorial/step2.html",
fribidi,"ACES, Rockfish",https://github.com/fribidi/fribidi,http://fribidi.org/,https://github.com/fribidi/fribidi/issues/15,
fujitsu,OOKAMI,,,,No File
Funannotate,Bridges-2,,,,Links Defunct
GAMESS,"Stampede-2, Bridges-2",https://www.msg.chem.iastate.edu/GAMESS/,,,
GATK,"Stampede-2, Bridges-2, Rockfish",https://gatk.broadinstitute.org/hc/en-us,,,
Gaussian,"Stampede-2, DARWIN, Bridges-2, Rockfish",https://gaussian.com/,,,
gaussview,Rockfish,https://gaussian.com/gaussview6/,https://gaussian.com/glossary/gv/,,
gawk-5.1.0-gcc-9.3.0-is2xpxq,KyRIC,https://www.gnu.org/software/gawk/,https://www.gnu.org/software/gawk/manual/gawk.html,"https://www.gnu.org/software/gawk/manual/html_node/Getting-Started.html,",
gcc,"FASTER, Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish",https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/,"https://gcc.gnu.org/onlinedocs/gcc-10.2.0/gcc/index.html,https://code.visualstudio.com/docs/cpp/config-linux",
gcc-10.2.0-gcc-9.3.0-prm4se2,KyRIC,https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/,"https://gcc.gnu.org/onlinedocs/gcc-10.2.0/gcc/index.html,https://code.visualstudio.com/docs/cpp/config-linux",
GCCcore,"ACES, Rockfish",,,,
gcccuda,ACES,,,,
gdal,"ACES, Rockfish",https://gdal.org/,https://gdal.org/user/index.html,"https://geoscript.org/lectures/gdal/,https://pcjericks.github.io/py-gdalogr-cookbook",
gdb,Anvil,https://www.sourceware.org/gdb/,https://www.sourceware.org/gdb/documentation/,"https://www.youtube.com/watch?v=PorfLSr3DDI,https://sourceware.org/gdb/current/onlinedocs/gdb.html/",
gdbm-1.18.1-gcc-9.3.0-33qtrum,KyRIC,https://www.gnu.org.ua/software/gdbm/,https://www.gnu.org.ua/software/gdbm/gdbm.html,https://www.gnu.org.ua/software/gdbm/manual/index.html,
Gdk-Pixbuf,ACES,https://docs.gtk.org/gdk3/,https://developer.gnome.org/gdk3/stable/gdk3-The-GDK-Library.html,,
GDRCopy,ACES,https://github.com/NVIDIA/gdrcopy,,,
GeneMark-ES,Bridges-2,http://exon.gatech.edu/GeneMark/,,,
gengetopt,Rockfish,https://www.gnu.org/software/gengetopt/,https://www.gnu.org/software/gengetopt/gengetopt.html,,
GeNT,Bridges-2,,,,Links Defunct
geos,"OOKAMI, ACES, Rockfish",https://trac.osgeo.org/geos/,https://libgeos.org/doxygen/,,
geos-chem,Rockfish,,,,
gethost,OOKAMI,https://docs.python.org/3/library/socket.html#gethostbyname,https://docs.python.org/3/library/socket.html#gethostbyname,"https://realpython.com/python-sockets/,https://pymotw.com/3/socket/index.html",
gettext,"ACES, Rockfish",https://www.gnu.org/software/gettext/,https://www.gnu.org/software/gettext/manual/,https://www.gnu.org/software/gettext/manual/gettext.html#Hello-World,
gettext-0.21-gcc-9.3.0-x4s52y3,KyRIC,,,,
gfbf,ACES,,,,No File
gh,Expanse,,,,No File
Ghostscript,ACES,https://www.ghostscript.com/,,,
giflib,ACES,https://giflib.sourceforge.net/,,,
Git,"Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish",https://git-scm.com/,https://git-scm.com/doc,"https://git-scm.com/docs/gittutorial,https://www.youtube.com/watch?v=HVsySz-h9r4,https://www.atlassian.com/git/tutorials",
git-2.29.0-gcc-9.3.0-3xgg4ng,KyRIC,https://git-scm.com/,https://git-scm.com/doc,"https://git-scm.com/docs/gittutorial,https://www.youtube.com/watch?v=HVsySz-h9r4,https://www.atlassian.com/git/tutorials",
git-annex,Rockfish,,,,
git-lfs,"Expanse, ACES, Rockfish",,,,
GL2PS,ACES,https://www.geuz.org/gl2ps/,,,
GLFW,ACES,https://www.glfw.org/,https://www.glfw.org/docs/latest/,"https://www.glfw.org/docs/latest/quick_guide.html , https://learnopengl.com/Getting-started/Creating-a-window ",
glib,"ACES, Rockfish",https://developer.gnome.org/glib/,https://docs.gtk.org/glib/,"https://wiki.gnome.org/Projects/GLib/GDateTime?action=show&redirect=GDateTime,https://docs.gtk.org/glib/",
GLM,ACES,https://glm.g-truc.net/0.9.9/index.html,https://glm.g-truc.net/0.9.9/api/index.html,"https://learnopengl.com/Getting-started/Transformations , https://en.wikibooks.org/wiki/OpenGL_Programming/GLStart/Tut3 , https://www.songho.ca/opengl/gl_transform.html ",
glpk,"ACES, Rockfish, Rockfish",https://www.gnu.org/software/glpk/,https://www.gnu.org/software/glpk/glpk.html,"https://www.gnu.org/software/glpk/#TOCdocumentation,https://www.gurobi.com/resources/mixed-integer-programming-mip-a-primer-on-the-basics/",
gmp,"OOKAMI, Anvil, ACES, Rockfish",https://gmplib.org/,https://gmplib.org/manual/,"https://gmplib.org/manual/Introduction-to-GMP,https://gmplib.org/manual/C_002b_002b-Interface-General",
gmp-6.1.2-gcc-9.3.0-hpbiokz,KyRIC,https://gmplib.org/,https://gmplib.org/manual/,"https://gmplib.org/manual/Introduction-to-GMP,https://gmplib.org/manual/C_002b_002b-Interface-General",
gmt,Stampede-2,https://www.generic-mapping-tools.org/,https://docs.generic-mapping-tools.org/latest/,https://wiki.seg.org/wiki/Geophysical_tutorials,
GNU Parallel,Bridges-2,https://www.gnu.org/,https://www.gnu.org/manual/manual.html,"https://www.gnu.org/software/software.html#allgnupkgs,https://www.gnu.org/software/make/manual/make.html",
gnu-parallel,OOKAMI,https://www.gnu.org/,https://www.gnu.org/manual/manual.html,"https://www.gnu.org/software/software.html#allgnupkgs,https://www.gnu.org/software/make/manual/make.html",
gnu9,KyRIC,https://gcc.gnu.org/gcc-9/,https://gcc.gnu.org/onlinedocs/gcc-9.2.0/gcc/index.html,"https://www.linuxtopia.org/online_books/an_introduction_to_gcc/gccintro_10.html,https://gcc.gnu.org/install/index.html",
gnuparallel,Stampede-2,https://www.gnu.org/,https://www.gnu.org/manual/manual.html,"https://www.gnu.org/software/software.html#allgnupkgs,https://www.gnu.org/software/make/manual/make.html",
gnuplot,"OOKAMI, ACES, Rockfish",,,https://www.cs.hmc.edu/~vrable/gnuplot/using-gnuplot.html,
gnutls,Rockfish,https://www.gnutls.org/,https://www.gnutls.org/documentation.html,"https://www.gnutls.org/manual/gnutls.html,https://www.mankier.com/package/gnutls",
go,"OOKAMI, ACES, Rockfish",https://go.dev/,https://go.dev/doc/,"https://go.dev/tour/welcome/1,https://www.geeksforgeeks.org/go-programming-language-introduction/,https://www.youtube.com/watch?v=C8LgvuEBraI,https://www.codecademy.com/learn/learn-go",
go-1.16-gcc-9.3.0-ajolq4h,KyRIC,https://go.dev/,https://go.dev/doc/,"https://go.dev/tour/welcome/1,https://www.geeksforgeeks.org/go-programming-language-introduction/,https://www.youtube.com/watch?v=C8LgvuEBraI,https://www.codecademy.com/learn/learn-go",
go-bootstrap-1.4-bootstrap-20171003-gcc-9.3.0-wjszkk6,KyRIC,,,,
GObject-Introspection,ACES,https://docs.gtk.org/gobject/,https://developer.gnome.org/gobject/stable/gobject-The-Base-Object-Type.html,,
gompi,ACES,https://docs.easybuild.io/common-toolchains/#gompi-toolchain,https://docs.easybuild.io/common-toolchains/#gompi-toolchain,,
gompic,ACES,https://www.open-mpi.org/,https://www.open-mpi.org/doc/current/,https://www.open-mpi.org/faq/?category=running,
googletest,ACES,https://github.com/google/googletest,https://google.github.io/googletest/,https://google.github.io/googletest/primer.html,
gpaw,"Stampede-2, Anvil",https://wiki.fysik.dtu.dk/gpaw/,https://wiki.fysik.dtu.dk/gpaw/documentation/documentation.html,,
gperf,"OOKAMI, ACES, Rockfish",https://www.gnu.org/software/gperf/,https://www.gnu.org/software/gperf/manual/gperf.html,,
gperftools,"OOKAMI, ACES",https://github.com/gperftools/gperftools,https://gperftools.github.io/gperftools/,https://github.com/gperftools/gperftools/wiki,
gpustat,"ACES, Rockfish",,,,No File
Graphene,ACES,,,,Links Defunct
GraphicsMagick,ACES,,,,
graphite2,ACES,https://github.com/silnrsi/graphite,https://graphite.sil.org/,,
Greenlet,ACES,,https://greenlet.readthedocs.io/en/latest/,,
groff,ACES,https://www.gnu.org/software/groff/,https://www.gnu.org/software/groff/manual/,"https://www.systutorials.com/docs/linux/man/7-groff/,https://www.gnu.org/software/groff/groff.html",
GROMACS,"OOKAMI, Stampede-2, DARWIN, ACES, Delta, Bridges-2, Rockfish",https://www.gromacs.org/,https://manual.gromacs.org/documentation/,,
gromacs-2021.4-gcc-9.3.0-odn2sfc,KyRIC,https://www.gromacs.org/,https://manual.gromacs.org/documentation/,,
gsl,"Stampede-2, Anvil, ACES, Rockfish",https://www.gnu.org/software/gsl/,https://www.gnu.org/software/gsl/doc/html/index.html,"https://www.gnu.org/software/gsl/doc/html/index.html#examples,",
GST-plugins-bad,ACES,,,,
GST-plugins-base,ACES,,,,
GStreamer,ACES,https://gstreamer.freedesktop.org/,https://gstreamer.freedesktop.org/documentation/,https://gstreamer.freedesktop.org/documentation/tutorials/index.html?gi-language=c,
GTK2,ACES,,,,
GTK3,ACES,,https://docs.gtk.org/gtk3/,,
GTK4,ACES,https://www.gtk.org/,,,
gts,Rockfish,https://gts.sourceforge.net/,https://gts.sourceforge.net/reference/book1.html,https://docs.blender.org/manual/en/latest/modeling/meshes/editing/edge/bevel.html,
gulp,Stampede-2,https://gulpjs.com/,https://gulpjs.com/docs/en/getting-started/quick-start/,"https://www.youtube.com/watch?v=1rw9MfIleEg,",
Guppy,Bridges-2,https://nanoporetech.com/nanopore-sequencing-data-analysis,https://community.nanoporetech.com/protocols/Guppy-protocol/v/GPB_2003_v1_revM_14Dec2018,,
gurobi,"DARWIN, Bridges-2, Rockfish",https://www.gurobi.com/,https://www.gurobi.com/documentation/,,
gzip,ACES,https://www.gnu.org/software/gzip/,https://www.gnu.org/software/gzip/manual/gzip.html,,
h5py,ACES,https://www.h5py.org/,https://docs.h5py.org/en/stable/,"https://docs.h5py.org/en/stable/quick.html,https://github.com/h5py/h5py",
hadoop,Anvil,https://hadoop.apache.org/,https://hadoop.apache.org/docs/current/,"https://hadoop.apache.org/docs/current/hadoop-project-dist/hadoop-common/SingleCluster.html,https://www.tutorialspoint.com/hadoop/index.htm,https://www.guru99.com/bigdata-tutorial-pdf.html",
harfbuzz,"ACES, Rockfish",https://harfbuzz.github.io/,https://harfbuzz.github.io/,,
hashdeep,Bridges-2,https://github.com/jessek/hashdeep,https://github.com/jessek/hashdeep#readme,"https://md5deep.sourceforge.net/start-hashdeep.html,",
hdf,"Anvil, ACES",https://www.hdfgroup.org/,https://support.hdfgroup.org/HDF5/doc/index.html,,
HDF5,"OOKAMI, Stampede-2, Anvil, ACES, Delta, Bridges-2, Rockfish",https://www.hdfgroup.org/,https://support.hdfgroup.org/HDF5/doc/index.html,,
heasoft,Rockfish,https://heasarc.gsfc.nasa.gov/lheasoft/,https://heasarc.gsfc.nasa.gov/lheasoft/ftools/xselect/xselect.html,"https://heasarc.gsfc.nasa.gov/lheasoft/ftools/ftools_menu.html,https://heasarc.gsfc.nasa.gov/lheasoft/ftools/headas/",
help2man,ACES,https://www.gnu.org/software/help2man/,https://www.gnu.org/software/help2man/help2man.html,https://brewinstall.org/Install-help2man-on-Mac-with-Brew/,
helpers,Rockfish,https://github.com/helpers/handlebars-helpers,https://github.com/helpers/handlebars-helpers#documentation,https://www.codeproject.com/Questions/1268523/Windows-10-update-from-windows-7-Will-visual-studi,
hh-suite,"ACES, Rockfish",,,,No File
Highway,ACES,https://github.com/google/highway,,,
hiredis,ACES,https://github.com/redis/hiredis,https://redis.io/docs/about/,"https://redis.io/docs/about/,https://redis.io/commands/,https://www.openmymind.net/2012/1/23/The-Little-Redis-Book/,https://www.youtube.com/watch?v=Hbt56gFj998,https://www.manning.com/books/redis-in-action",
HISAT2,Bridges-2,https://daehwankimlab.github.io/hisat2/,https://daehwankimlab.github.io/hisat2/manual/,https://training.galaxyproject.org/training-material/topics/transcriptomics/tutorials/rna-seq-reads-to-counts/tutorial.html,
hmmer,"ACES, Bridges-2, Rockfish",http://hmmer.org/,http://hmmer.org/documentation.html,"http://eddylab.org/software/hmmer/Userguide.pdf,https://www.ebi.ac.uk/Tools/hmmer/tutorial",
Homer,Bridges-2,http://homer.ucsd.edu/homer/,http://homer.ucsd.edu/homer/introduction/programs.html,"http://homer.ucsd.edu/homer/basicTutorial/index.html , http://homer.ucsd.edu/homer/motif/index.html ",
hoomd,Stampede-2,https://glotzerlab.engin.umich.edu/hoomd-blue/,https://hoomd-blue.readthedocs.io/en/stable/,,
Horovod,ACES,https://horovod.ai/,https://horovod.readthedocs.io/en/stable/,,
HPC Toolkit,Jetstream2,http://hpctoolkit.org/,http://hpctoolkit.org/documentation.html,"https://wgropp.cs.illinois.edu/courses/cs598-s15/lectures/lecture18.pdf,http://hpctoolkit.org/manual/HPCToolkit-users-manual.pdf",
HPCC,DARWIN,https://hpccsystems.com/,,https://hpccsystems.com/training/documentation/learning-ecl/,
hpctoolkit,"Stampede-2, Anvil",,,,
HPN-SSH,Bridges-2,https://www.psc.edu/hpn-ssh-home/,,,
hspice,Anvil,,,,
htop,"OOKAMI, Stampede-2, Delta",https://htop.dev/,https://linux.die.net/man/1/htop,https://www.tecmint.com/htop-linux-process-monitoring/,
htslib,"ACES, Bridges-2, Rockfish, Rockfish",https://www.htslib.org/,https://www.htslib.org/doc/,"https://github.com/samtools/htslib,https://igv.org/doc/desktop/,https://www.biostars.org/p/218660/#218671",
hwloc,"OOKAMI, Anvil, KyRIC, ACES, Rockfish",https://www.open-mpi.org/projects/hwloc/,https://www.open-mpi.org/projects/hwloc/doc/,https://www.open-mpi.org/projects/hwloc/tutorials/,
hwloc-2.4.1-gcc-9.3.0-6l4b2ui,KyRIC,https://www.open-mpi.org/projects/hwloc/,https://www.open-mpi.org/projects/hwloc/doc/,https://www.open-mpi.org/projects/hwloc/tutorials/,
Hyperopt,ACES,,https://hyperopt.github.io/hyperopt/,,
hypothesis,ACES,https://hypothesis.works/,https://hypothesis.readthedocs.io/en/latest/,"https://github.com/HypothesisWorks/hypothesis#the-core-api,https://www.etsy.com/codeascraft",
hypre,"Stampede-2, ACES, Rockfish",https://computing.llnl.gov/projects/hypre-scalable-linear-solvers-multigrid-methods,https://hypre.readthedocs.io/en/latest/,https://hypre.readthedocs.io/en/latest/,
ibrun,Rockfish,https://kb.iu.edu/d/apum,,https://learn.tacc.utexas.edu/course/view.php?id=3,
iCommands,Bridges-2,,,,No File
ICU,ACES,,,,No File
icu4c-67.1-gcc-9.3.0-rxzi3va,KyRIC,,,,
idev,Stampede-2,,,,
idl,Stampede-2,,,,
igv,Rockfish,https://igv.org/doc/desktop/,https://igv.org/doc/desktop/,"https://www.biostars.org/p/218660/#218671,",
iimpi,ACES,,,,
imageio,ACES,https://imageio.readthedocs.io/en/stable/,https://imageio.readthedocs.io/en/stable/user_guide/index.html,"https://imageio.readthedocs.io/en/stable/examples.html,https://pythontic.com/visualization/signals/imageio",
ImageJ,ACES,https://imagej.net/Welcome,https://imagej.net/learn/,https://imagej.net/tutorials/,
ImageMagick,"OOKAMI, ACES, Delta, Rockfish",https://imagemagick.org/index.php,https://imagemagick.org/script/command-line-tools.php,,
Imath,ACES,https://github.com/AcademySoftwareFoundation/Imath,,,
imb,KyRIC,,,"https://www.ebi.ac.uk/training/on-demand,",
imbalanced-learn,ACES,https://imbalanced-learn.org/stable/,https://imbalanced-learn.org/stable/user_guide.html,"https://www.analyticsvidhya.com/blog/2020/07/10-techniques-to-deal-with-class-imbalance-in-machine-learning/,https://machinelearningmastery.com/tactics-to-combat-imbalanced-classes-in-your-machine-learning-dataset/,https://pypi.org/project/imbalanced-learn/,https://github.com/scikit-learn-contrib/imbalanced-learn",
imkl,ACES,https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html,https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html,,
imkl-FFTW,ACES,,,,
Imlib2,Rockfish,,https://docs.enlightenment.org/api/imlib2/html/,,
impi,"Stampede-2, ACES",https://www.intel.com/content/www/us/en/developer/tools/oneapi/mpi-library.html#gs.5295ue,https://www.intel.com/content/www/us/en/resources-documentation/developer.html#gs.5295ng,https://www.intel.com/content/www/us/en/developer/overview.html#gs.52967v,
Infernal,Bridges-2,http://eddylab.org/infernal/,,,
init_opencl,KyRIC,,,,No File
inspector,KyRIC,https://www.intel.com/content/www/us/en/developer/tools/oneapi/inspector.html#gs.52c03e,https://www.intel.com/content/www/us/en/docs/inspector/user-guide-windows/2022/overview.html,"https://www.intel.com/content/www/us/en/resources-documentation/developer.html#gs.52c0i6,https://www.intel.com/content/www/us/en/resources-documentation/developer.html#gs.52c0e6",
intel,"Expanse, OOKAMI, Stampede-2, KyRIC, ACES, Rockfish",https://www.intel.com/content/www/us/en/developer/overview.html#gs.52c0pp,https://www.intel.com/content/www/us/en/developer/overview.html#gs.52c0pp,"https://www.intel.com/content/www/us/en/developer/tools/oneapi/training/overview.html,https://software.intel.com/content/www/us/en/develop/webinars.html",
Intel OneAPI,Jetstream2,,,,
Intel_AI_toolkit,Delta,,,,
intel_ipp_ia32,KyRIC,,,,
intel_ipp_intel64,KyRIC,,,,
intel_ippcp_ia32,KyRIC,,,,
intel_ippcp_intel64,KyRIC,,,,
intel-compilers,ACES,,,,
intel-mkl,"Anvil, Rockfish",,,,
intel-oneapi-advisor,Delta,,,,
intel-oneapi-compilers,Delta,,,,
intel-oneapi-mkl,"Anvil, Delta",,,,
intel-oneapi-tbb,Anvil,,,,
intltool,ACES,https://freedesktop.org/wiki/Software/intltool/,https://freedesktop.org/wiki/Software/intltool/,https://wiki.gnome.org/TranslationProject/DevGuidelines/Intltool,
ipmitool,OOKAMI,https://github.com/ipmitool/ipmitool,https://www.mankier.com/1/ipmitool,"https://www.thomas-krenn.com/en/wiki/Operating_IPMItool_Commands,https://wordpress.crunchtools.com/wp-signup.php?new=info.crunchtools.com",
IPython,ACES,https://ipython.org/,https://ipython.readthedocs.io/en/stable/,,
irods,Stampede-2,https://irods.org/,https://docs.irods.org/,https://irods.org/documentation/,
ISA-L,ACES,https://isa-tools.org/,https://isa-specs.readthedocs.io/en/latest/index.html,,
itac,"Stampede-2, KyRIC",https://www.intel.com/content/www/us/en/developer/tools/oneapi/trace-analyzer.html#gs.52c50c,https://software.intel.com/content/www/us/en/develop/documentation/oneapi-hpc-toolkit-user-guide/top.html,https://software.intel.com/content/www/us/en/develop/articles/using-intel-mpi-library-and-itac-in-wsl.html,
ITK,ACES,https://itk.org/,https://itk.org/Doxygen/html/index.html,"https://examples.itk.org// , https://itkpythonpackage.readthedocs.io/en/latest/Quick_start_guide.html ",
jags,Rockfish,https://mcmc-jags.sourceforge.io/,https://cran.r-project.org/web/packages/rjags/index.html,,
jarvis-tools,Rockfish,,,,
jasmine,Rockfish,https://jasmine.github.io/,https://jasmine.github.io/pages/docs_home.html,,
jasper,"ACES, Rockfish",https://www.ece.uvic.ca/~frodo/jasper/,https://www.ece.uvic.ca/~frodo/jasper/jasper.pdf,"https://users.cs.cf.ac.uk/Dave.Marshall/Multimedia/node234.html,https://www.ece.uvic.ca/~frodo/jasper/#source",
java,"Jetstream2, DARWIN, ACES, Bridges-2, Rockfish, Rockfish",https://www.oracle.com/java/,https://docs.oracle.com/en/java/,"https://docs.oracle.com/en/java/javase/14/docs/api/index.html,https://www.w3schools.com/java/,https://www.tutorialspoint.com/java/index.htm,https://www.codecademy.com/learn/learn-java",
"Java, Julia",ACES,https://www.oracle.com/java/,https://docs.oracle.com/en/java/,"https://docs.oracle.com/en/java/javase/14/docs/api/index.html,https://www.w3schools.com/java/,https://www.tutorialspoint.com/java/index.htm,https://www.codecademy.com/learn/learn-java",
jax,ACES,https://github.com/google/jax,https://jax.readthedocs.io/en/latest/,"https://jax.readthedocs.io/en/latest/notebooks/quickstart.html,https://jax.readthedocs.io/en/latest/jax-101/index.html,https://github.com/google/jax#using-tensorflow-datasets",
jbigkit,Rockfish,https://www.cl.cam.ac.uk/~mgk25/jbigkit/,https://www.cl.cam.ac.uk/~mgk25/jbigkit/,https://www.cl.cam.ac.uk/~mgk25/jbigkit/,
jdftx,Rockfish,https://jdftx.org/,https://jdftx.org/Using.html,https://jdftx.org/Tutorials.html,
jellyfish,ACES,https://www.genome.umd.edu/jellyfish.html,https://www.genome.umd.edu/jellyfish.html,,
json-c,KyRIC,https://www.json.org/json-en.html,https://developer.mozilla.org/en-US/docs/Learn/JavaScript/Objects/JSON,"https://www.w3schools.com/js/js_json_intro.asp,https://www.guru99.com/json-tutorial-example.html,https://www.codecademy.com/learn/paths/web-development",
json-c-0.13.1-gcc-9.3.0-mpcyruj,ACES,https://www.json.org/json-en.html,https://developer.mozilla.org/en-US/docs/Learn/JavaScript/Objects/JSON,"https://www.w3schools.com/js/js_json_intro.asp,https://www.guru99.com/json-tutorial-example.html,https://www.codecademy.com/learn/paths/web-development",
JsonCpp,"OOKAMI, ACES, Bridges-2, Rockfish",https://github.com/open-source-parsers/jsoncpp,https://github.com/open-source-parsers/jsoncpp/wiki,,
julia,"Jetstream2, Anvil, Bridges-2",https://julialang.org/,https://docs.julialang.org/en/v1/,"https://julialang.org/learning/,https://www.codecademy.com/catalog,https://www.tutorialspoint.com/julia/index.htm,https://www.coursera.org/courses?query=julia%20programming",
jupyter,"Jetstream2, Anvil",https://jupyter.org/,https://docs.jupyter.org/en/latest/,"https://jupyter-notebook-beginner-guide.readthedocs.io/en/latest/,https://www.datacamp.com/tutorial/tutorial-jupyter-notebook,https://github.com/ipython/ipython-in-depth",
jupyterhub,"Jetstream2, Rockfish",https://jupyter.org/hub,https://jupyterhub.readthedocs.io/en/stable/,"https://github.com/jupyterhub/jupyterhub-tutorial,https://jupyterhub-team-compass.readthedocs.io/en/latest/,https://tljh.jupyter.org/en/latest/,https://z2jh.jupyter.org/en/latest/",
jupyterlab,ACES,https://jupyter.org/install.html,https://jupyterlab.readthedocs.io/en/stable/,"https://jupyterlab.readthedocs.io/en/stable/user/interface.html,https://www.youtube.com/watch?v=7wfPqAyYADY",
KaHIP,"ACES, Rockfish",,,Links Defunct,
kalign,Bridges-2,https://msa.sbc.su.se/cgi-bin/msa.cgi,https://www.ebi.ac.uk/jdispatcher/,,
Keras,ACES,https://keras.io/,https://keras.io/api/,"https://www.tensorflow.org/guide/keras , https://keras.io/examples/ ",
kim-api,ACES,,,,No File
kineto,"OOKAMI, Delta",https://github.com/pytorch/kineto,https://github.com/pytorch/kineto/blob/main/README.md,,
kokkos,Bridges-2,https://kokkos.github.io/,https://kokkos.org/kokkos-core-wiki/,https://github.com/kokkos/kokkos-tutorials,
Kraken2,Rockfish,https://ccb.jhu.edu/software/kraken2/index.shtml,https://ccb.jhu.edu/software/kraken2/index.shtml?t=manual,"https://github.com/DerrickWood/kraken2,https://training.galaxyproject.org/training-material/topics/microbiome/tutorials/mothur-miseq-sop/tutorial.html,https://usegalaxy.org/root?tool_id=toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2/2.0.8_beta",
kraken2,KyRIC,https://ccb.jhu.edu/software/kraken2/index.shtml,https://ccb.jhu.edu/software/kraken2/index.shtml?t=manual,"https://github.com/DerrickWood/kraken2,https://training.galaxyproject.org/training-material/topics/microbiome/tutorials/mothur-miseq-sop/tutorial.html,https://usegalaxy.org/root?tool_id=toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2/2.0.8_beta",
kyric,ACES,,,,No File
LAME,"OOKAMI, Stampede-2, DARWIN, ACES, Delta, Bridges-2, Rockfish",https://lame.sourceforge.io/,,,
LAMMPS,Rockfish,https://www.lammps.org/#gsc.tab=0,https://docs.lammps.org/Manual.html,"https://www.lammps.org/tutorials.html,https://www.lammps.org/tutorials/italy14/italy_examples_Mar14.pdf,https://www.hpc-carpentry.org/tuning_lammps/",
lammps_gpu,Rockfish,,,,
lammps_plumed,"OOKAMI, DARWIN",,,,
LAPACK,DARWIN,https://www.netlib.org/lapack/,https://www.netlib.org/lapack/lug/lapack_lug.html,https://www.netlib.org/lapack/lug/node145.html,
LaPlace,ACES,,,,Links Incorrect: https://github.com/aleximmer/Laplace
LASSO-Python,"Stampede-2, Anvil",,,,
launcher,Bridges-2,https://tacc.utexas.edu/research/tacc-research/launcher/,https://github.com/TACC/launcher,,
lazygit,ACES,,,,
Leptonica,ACES,,,,
LERC,Rockfish,,,,
lftp,ACES,https://lftp.yar.ru/,https://lftp.yar.ru/lftp-man.html,https://web.archive.org/web/20111024014512/http://tutorials.papamike.ca/pub/lftp.html,
libaec,KyRIC,https://docs.dkrz.de/doc/index.html,https://gitlab.dkrz.de/k202009/libaec/-/tree/master,,
libaio-0.3.110-gcc-9.3.0-n4f6zic,ACES,https://pagure.io/libaio,,,
libarchive,KyRIC,https://www.libarchive.org/,https://github.com/libarchive/libarchive/wiki/BuildInstructions,https://github.com/libarchive/libarchive/wiki/Examples,
libbsd-0.10.0-gcc-9.3.0-3feqfmu,OOKAMI,https://libbsd.freedesktop.org/wiki/,https://manpages.debian.org/testing/libbsd-dev/index.html,,
libcap-devel,ACES,https://mirrors.edge.kernel.org/pub/linux/libs/security/linux-privs/,,,
libcerf,ACES,https://jugit.fz-juelich.de/mlz/libcerf,https://jugit.fz-juelich.de/mlz/libcerf,https://anaconda.org/conda-forge/libcerf,
libdap,ACES,https://www.opendap.org/software/libdap,https://docs.opendap.org/index.php/Developer/Source_Code/libdap,,
libdeflate,ACES,,,,
libdrm,KyRIC,https://dri.freedesktop.org/wiki/,https://dri.freedesktop.org/docs/drm/,"https://www.intel.com/content/www/us/en/developer/topic-technology/open/overview.html,https://dri.freedesktop.org/wiki/TestingAndDebugging/",
libedit-3.1-20191231-gcc-9.3.0-vx2pxkm,ACES,https://thrysoee.dk/editline/,https://man.openbsd.org/editline.3,,
